Country,Year,Date,Holiday Name,Holiday Type,Weekday,Where It is Observed
uk,2019,2019-04-29,Orthodox Easter Monday,Orthodox,Monday,
uk,2019,2019-05-01,Yom HaShoah,Jewish holiday,Wednesday,
uk,2019,2019-05-06,Early May Bank Holiday,Bank holiday,Monday,
uk,2019,2019-05-09,Yom HaAtzmaut,Jewish holiday,Thursday,
uk,2019,2019-05-09,Liberation Day,Local Bank Holiday,Thursday,"Guernsey, Jersey"
uk,2019,2019-05-23,Lag B'Omer,Jewish holiday,Thursday,
uk,2019,2019-05-27,Spring Bank Holiday,Bank holiday,Monday,
uk,2019,2019-05-30,Ascension Day,Christian,Thursday,
uk,2019,2019-05-31,Laylat al-Qadr (Night of Destiny),Muslim,Friday,
uk,2019,2019-06-05,Eid-al-Fitr,Muslim,Wednesday,
uk,2019,2019-06-08,Queen's Birthday,Observance,Saturday,
uk,2019,2019-06-09,Pentecost,Christian,Sunday,
uk,2019,2019-06-09,Shavuot,Jewish holiday,Sunday,
uk,2019,2019-06-10,Whit Monday,Christian,Monday,
uk,2019,2019-06-16,Trinity Sunday,Christian,Sunday,
uk,2019,2019-06-16,Father's Day,Observance,Sunday,
uk,2019,2019-06-20,Corpus Christi,Christian,Thursday,
uk,2019,2019-06-21,June Solstice,Season,Friday,
uk,2019,2019-07-12,Battle of the Boyne,Local Bank Holiday,Friday,Northern Ireland
uk,2019,2019-08-05,Summer Bank Holiday,Common Local holidays,Monday,Scotland
uk,2019,2019-08-11,Tisha B'Av,Jewish holiday,Sunday,
uk,2019,2019-08-12,Eid-al-Adha,Muslim,Monday,
uk,2019,2019-08-15,Assumption of Mary,Christian,Thursday,
uk,2019,2019-08-15,Raksha Bandhan,Hindu Holiday,Thursday,
uk,2019,2019-08-23,Janmashtami,Hindu Holiday,Friday,
uk,2019,2019-08-26,Summer Bank Holiday,Common Local holidays,Monday,"ENG, Guernsey, Jersey, NIR, WAL"
uk,2019,2019-09-01,Muharram/Islamic New Year,Muslim,Sunday,
uk,2019,2019-09-02,Ganesh Chaturthi,Hindu Holiday,Monday,
uk,2019,2019-09-23,September equinox,Season,Monday,
uk,2019,2019-09-29,Navaratri,Hindu Holiday,Sunday,
uk,2019,2019-09-30,Rosh Hashana,Jewish holiday,Monday,
uk,2019,2019-10-04,Feast of St Francis of Assisi,Christian,Friday,
uk,2019,2019-10-07,Dussehra,Hindu Holiday,Monday,
uk,2019,2019-10-09,Yom Kippur,Jewish holiday,Wednesday,
uk,2019,2019-10-14,First day of Sukkot,Jewish holiday,Monday,
uk,2019,2019-10-20,Last day of Sukkot,Jewish holiday,Sunday,
uk,2019,2019-10-21,Shmini Atzeret,Jewish holiday,Monday,
uk,2019,2019-10-22,Simchat Torah,Jewish holiday,Tuesday,
uk,2019,2019-10-27,Daylight Saving Time ends,Clock change/Daylight Saving Time,Sunday,
uk,2019,2019-10-27,Diwali/Deepavali,Observance,Sunday,
uk,2019,2019-10-31,Halloween,Observance,Thursday,
uk,2019,2019-11-01,All Saints' Day,Christian,Friday,
uk,2019,2019-11-02,All Souls' Day,Christian,Saturday,
uk,2019,2019-11-05,Guy Fawkes Day,Observance,Tuesday,
uk,2019,2019-11-10,Prophet's Birthday,Muslim,Sunday,
uk,2019,2019-11-10,Remembrance Sunday,Observance,Sunday,
