Country,Year,Date,Holiday Name,Holiday Type,Weekday,Where It is Observed
uk,2019,2019-11-30,St Andrew's Day,Local Bank Holiday,Saturday,Scotland
uk,2019,2019-12-01,First Sunday of Advent,Observance,Sunday,
uk,2019,2019-12-02,St Andrew's Day observed,Local Bank Holiday,Monday,Scotland
uk,2019,2019-12-08,Feast of the Immaculate Conception,Christian,Sunday,
uk,2019,2019-12-22,December Solstice,Season,Sunday,
uk,2019,2019-12-23,First Day of Hanukkah,Jewish holiday,Monday,
uk,2019,2019-12-24,Christmas Eve,Observance,Tuesday,
uk,2019,2019-12-25,Christmas Day,Bank holiday,Wednesday,
uk,2019,2019-12-26,Boxing Day,Bank holiday,Thursday,
uk,2019,2019-12-30,Last day of Hanukkah,Jewish holiday,Monday,
uk,2019,2019-12-31,New Year's Eve,Observance,Tuesday,
uk,2020,2020-01-01,New Year's Day,Bank holiday,Wednesday,
uk,2020,2020-01-02,2nd January,Local Bank Holiday,Thursday,Scotland
uk,2020,2020-01-06,Epiphany,Christian,Monday,
uk,2020,2020-01-07,Orthodox Christmas Day,Orthodox,Tuesday,
uk,2020,2020-01-14,Orthodox New Year,Orthodox,Tuesday,
uk,2020,2020-01-25,Burns Night,Local observance,Saturday,Scotland
uk,2020,2020-01-25,Chinese New Year,Observance,Saturday,
uk,2020,2020-02-10,Tu B'Shevat (Arbor Day),Jewish holiday,Monday,
uk,2020,2020-02-14,Valentine's Day,Observance,Friday,
uk,2020,2020-02-21,Maha Shivaratri,Hindu Holiday,Friday,
uk,2020,2020-02-25,Carnival/Shrove Tuesday,Christian,Tuesday,
uk,2020,2020-02-26,Carnival/Ash Wednesday,Christian,Wednesday,
uk,2020,2020-03-01,St. David's Day,Observance,Sunday,Wales
uk,2020,2020-03-09,Holi,Hindu Holiday,Monday,
uk,2020,2020-03-10,Purim,Jewish holiday,Tuesday,
uk,2020,2020-03-17,St Patrick's Day,Local Bank Holiday,Tuesday,Northern Ireland
uk,2020,2020-03-20,March equinox,Season,Friday,
uk,2020,2020-03-22,Isra and Mi'raj,Muslim,Sunday,
uk,2020,2020-03-22,Mothering Sunday,Observance,Sunday,
uk,2020,2020-03-29,Daylight Saving Time starts,Clock change/Daylight Saving Time,Sunday,
uk,2020,2020-04-05,Palm Sunday,Christian,Sunday,
uk,2020,2020-04-09,Maundy Thursday,Christian,Thursday,
uk,2020,2020-04-09,First day of Passover,Jewish holiday,Thursday,
uk,2020,2020-04-10,Good Friday,Bank holiday,Friday,
uk,2020,2020-04-11,Holy Saturday,Christian,Saturday,
uk,2020,2020-04-12,Easter Sunday,"Observance, Christian",Sunday,
uk,2020,2020-04-13,Easter Monday,Common Local holidays,Monday,"ENG, Guernsey, Jersey, NIR, WAL"
uk,2020,2020-04-13,Easter Monday,Observance,Monday,Scotland
uk,2020,2020-04-16,Last day of Passover,Jewish holiday,Thursday,
uk,2020,2020-04-17,Orthodox Good Friday,Orthodox,Friday,
uk,2020,2020-04-18,Orthodox Holy Saturday,Orthodox,Saturday,
uk,2020,2020-04-19,Orthodox Easter,Orthodox,Sunday,
uk,2020,2020-04-20,Orthodox Easter Monday,Orthodox,Monday,
uk,2020,2020-04-21,Yom HaShoah,Jewish holiday,Tuesday,
uk,2020,2020-04-23,St. George's Day,Observance,Thursday,
