s3_zip_name	s3_zip_size
flight_10_15/flight_10_15_price_2017-06-04.zip	15003228
flight_10_15/flight_10_15_price_2017-06-05.zip	15217312
flight_10_15/flight_10_15_price_2017-06-06.zip	15025492
flight_10_15/flight_10_15_price_2017-06-07.zip	15861183
flight_10_15/flight_10_15_price_2017-06-08.zip	16119437
flight_10_15/flight_10_15_price_2017-06-09.zip	15859022
flight_10_15/flight_10_15_price_2017-06-10.zip	15902835
flight_10_15/flight_10_15_price_2017-06-11.zip	15460090
flight_10_15/flight_10_15_price_2017-06-12.zip	15789784
flight_10_15/flight_10_15_price_2017-06-13.zip	15923529
flight_10_15/flight_10_15_price_2017-06-14.zip	16003085
flight_10_15/flight_10_15_price_2017-06-15.zip	16083391
flight_10_15/flight_10_15_price_2017-06-16.zip	15985637
flight_10_15/flight_10_15_price_2017-06-17.zip	15971369
flight_10_15/flight_10_15_price_2017-06-18.zip	16000189
flight_10_15/flight_10_15_price_2017-06-19.zip	15562971
flight_10_15/flight_10_15_price_2017-06-20.zip	15794469
flight_10_15/flight_10_15_price_2017-06-21.zip	14889166
flight_10_15/flight_10_15_price_2017-06-22.zip	15084363
flight_10_15/flight_10_15_price_2017-06-24.zip	16361677
flight_10_15/flight_10_15_price_2017-06-26.zip	15550709
flight_10_15/flight_10_15_price_2017-06-28.zip	15482622
flight_10_15/flight_10_15_price_2017-06-30.zip	29758
flight_10_16/flight_10_16_price_2017-05-15.zip	13601685
flight_10_16/flight_10_16_price_2017-05-16.zip	13584308
flight_10_16/flight_10_16_price_2017-05-17.zip	13913060
flight_10_16/flight_10_16_price_2017-05-18.zip	13926726
flight_10_16/flight_10_16_price_2017-05-19.zip	13859547
flight_10_16/flight_10_16_price_2017-05-20.zip	13951666
flight_10_16/flight_10_16_price_2017-05-21.zip	14012400
flight_10_16/flight_10_16_price_2017-05-22.zip	14006377
flight_10_16/flight_10_16_price_2017-05-23.zip	14190529
flight_10_16/flight_10_16_price_2017-05-24.zip	14286867
flight_10_16/flight_10_16_price_2017-05-25.zip	14214572
flight_10_16/flight_10_16_price_2017-05-26.zip	14251713
flight_10_16/flight_10_16_price_2017-05-27.zip	14255329
flight_10_16/flight_10_16_price_2017-05-28.zip	14155790
flight_10_16/flight_10_16_price_2017-05-29.zip	14190259
flight_10_16/flight_10_16_price_2017-05-30.zip	14269857
flight_10_16/flight_10_16_price_2017-05-31.zip	14306615
flight_10_16/flight_10_16_price_2017-06-01.zip	14327649
flight_10_16/flight_10_16_price_2017-06-02.zip	14601574
flight_10_16/flight_10_16_price_2017-06-03.zip	14627326
flight_10_16/flight_10_16_price_2017-06-04.zip	14640329
flight_10_16/flight_10_16_price_2017-06-05.zip	14682904
flight_10_16/flight_10_16_price_2017-06-06.zip	14943760
flight_10_16/flight_10_16_price_2017-06-07.zip	13778208
flight_10_16/flight_10_16_price_2017-06-08.zip	14847853
flight_10_16/flight_10_16_price_2017-06-09.zip	14878830
flight_10_16/flight_10_16_price_2017-06-10.zip	14925206
flight_10_16/flight_10_16_price_2017-06-11.zip	14590295
flight_10_16/flight_10_16_price_2017-06-12.zip	14839344
flight_10_16/flight_10_16_price_2017-06-13.zip	14971402
flight_10_16/flight_10_16_price_2017-06-14.zip	14981733
flight_10_16/flight_10_16_price_2017-06-15.zip	14963529
flight_10_16/flight_10_16_price_2017-06-16.zip	14921861
flight_10_16/flight_10_16_price_2017-06-17.zip	14877560
flight_10_16/flight_10_16_price_2017-06-18.zip	14913225
flight_10_16/flight_10_16_price_2017-06-19.zip	14294957
