12-05 11:30:55.196 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.38 GB + FREE:930.3 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:55.195 172.17.0.2:54321      253    #read-479 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:55.538 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.7 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:55.538 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.38 GB + FREE:929.9 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:55.539 172.17.0.2:54321      253    #read-473 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.38 GB + FREE:929.9 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:55.539 172.17.0.2:54321      253    #read-457 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.38 GB + FREE:929.9 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:55.707 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:56.366 172.17.0.2:54321      253    #read-457 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:56.366 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:56.366 172.17.0.2:54321      253    #read-473 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:56.701 172.17.0.2:54321      253    #read-457 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:56.701 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:57.040 172.17.0.2:54321      253    #read-473 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:57.373 172.17.0.2:54321      253    #read-457 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:58.055 172.17.0.2:54321      253    #read-473 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.7 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:58.055 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.7 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:58.055 172.17.0.2:54321      253    #read-457 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.7 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:58.226 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.6 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:58.564 172.17.0.2:54321      253    #read-457 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.6 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:58.894 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.7 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:58.894 172.17.0.2:54321      253    #read-457 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.7 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:59.225 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.4 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:59.225 172.17.0.2:54321      253    #read-457 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.4 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:59.558 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:59.558 172.17.0.2:54321      253    #read-457 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:59.897 172.17.0.2:54321      253    #read-457 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:59.897 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:00.247 172.17.0.2:54321      253    #read-457 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:00.248 172.17.0.2:54321      253    #read-468 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:00.248 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.7 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:00.583 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.7 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:00.583 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.4 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
